# SpaceSegment.Instrument.NISP.NISPDetectorSlots
SCE_POS,SCA_ID,CFC_ID,SCE_ID,SCS_ID,SCS_NUM,CD1_1,CD1_2,CD2_1,CD2_2,CRPIX1,CRPIX2,CRVAL1,CRVAL2
32,18284,008-1(108),108,284-081-108,6,-0.017921,-2.9e-05,2.9e-05,-0.017921,4,4,-1.3760452256458273,39.27586644534612
42,18249,001-4(103),016,249-014-016,2,-0.017921,-3.2e-05,3.2e-05,-0.017921,4,4,-1.3924589600923045,82.05972128660159
14,18267,008-4(131),054,267-084-054,16,0.017921,6e-06,-6e-06,0.017921,4,4,41.20114762082936,-81.86164991541662
44,18628,005-2(115),074,628-052-074,4,-0.017921,-8e-06,8e-06,-0.017921,4,4,77.7854221619223,82.04442551047474
43,18221,009-4(130),069,221-094-069,3,-0.017921,-3.2e-05,3.2e-05,-0.017921,4,4,38.24259970996096,82.06246903610761
12,18272,004-2(114),021,272-042-021,14,0.017921,2.8e-05,-2.8e-05,0.017921,4,4,-37.953437755668574,-81.81834213785854
24,18452,007-4(138),104,452-074-104,12,0.017921,2.1e-05,-2.1e-05,0.017921,4,4,41.22260928992539,-39.07239100485011
22,18285,006-4(127),057,285-064-057,10,0.017921,2.6e-05,-2.6e-05,0.017921,4,4,-37.99449436392301,-39.05093222493398
34,18269,007-2(119),058,269-072-058,8,-0.017921,-3.2e-05,3.2e-05,-0.017921,4,4,77.78151426935045,39.28692305805008
23,18548,007-1(132),075,548-071-075,11,0.017921,1.4e-05,-1.4e-05,0.017921,4,4,1.6195916828282144,-39.12049030822487
21,18268,004-5(109), 060,268-045-060,9,0.017921,3.1e-05,-3.1e-05,0.017921,4,4,-77.56507937311638,-39.01613676275595
13,18632,008-5(122),063,632-085-063,15,0.017921,4e-05,-4e-05,0.017921,4,4,1.6184171362301443,-81.79959393432638
11,18453,002-4(118),107,453-024-107,13,0.017921,3.1e-05,-3.1e-05,0.017921,4,4,-77.56762422362597,-81.79924900534733
41,18458, 010-3(110),017,458-103-017,1,-0.017921,-1e-05,1e-05,-0.017921,4,4,-40.987126171274426,82.05229087191834
31,18280,011-4(111),053,280-114-053,5,-0.017921,-1.9e-05,1.9e-05,-0.017921,4,4,-40.99081605808112,39.275649904845075
33,18278,004-3(137),071,278-043-071,7,-0.017921,-1.1e-05,1.1e-05,-0.017921,4,4,38.160735,39.263697
